rating,box_office,genre,director
PG,41407470,Comedy|Drama|Kids and Family,Tim McCanlies
R,101368,Drama,Josh Mond
PG-13,35003216,Drama,Clint Eastwood
R,15133185,Drama|Mystery and Suspense,Nick Cassavetes
PG,38120554,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,Ron Clements|John Musker
PG-13,549351,Drama,Ryan Little
PG-13,176049130,Action and Adventure|Drama|Mystery and Suspense,Paul Greengrass
PG-13,18472363,Action and Adventure|Mystery and Suspense,John Stockwell
G,95111012,Comedy|Kids and Family,Garry Marshall
NR,32000000,Drama,Claude Gagnon
PG-13,81157671,Drama,Ryan Coogler
R,14260193,Comedy|Drama,Kelly Fremon Craig
PG-13,209805005,Action and Adventure|Drama|Mystery and Suspense,Justin Lin
R,16632,Drama|Mystery and Suspense,Will Canon
PG-13,13617501,Drama|Musical and Performing Arts|Romance,Trish Sie
R,4436352,Action and Adventure|Comedy|Drama,Kasi Lemmons
R,74223625,Action and Adventure|Drama|Mystery and Suspense,Joel Coen|Ethan Coen
PG,4341275,Drama|Romance,Jane Campion
PG,9404922,Animation|Comedy|Kids and Family,Ash Brannon
PG-13,2500000,Drama,Peter Weir
R,18173360,Action and Adventure|Drama,Sean Penn
PG-13,410077,Art House and International|Documentary,James Marsh
R,2395410,Drama,Danny Boyle
PG,18602895,Drama|Romance,Julian Jarrold
PG,118253,Documentary,Lucy Walker
R,32700000,Comedy|Drama,Trey Parker
R,15536310,Action and Adventure|Mystery and Suspense,David Twohy
R,34600000,Action and Adventure|Drama,Andrzej Bartkowiak
PG-13,8888355,Drama|Musical and Performing Arts|Special Interest,Benson Lee
R,9262318,Drama,Craig Brewer
PG-13,227946274,Action and Adventure|Comedy|Drama,Peter Berg
PG-13,90672025,Comedy,David Zucker
R,97661826,Animation|Comedy,Conrad Vernon|Greg Tiernan
R,72413,Action and Adventure|Art House and International|Drama,Daniel Lee
PG-13,58255287,Comedy,Keenen Ivory Wayans
PG-13,766428,Drama,Peter Landesman
PG-13,88658172,Comedy|Drama|Romance,Tom Dey
PG-13,144738046,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Alex Proyas
